threshold,contacted,contacted_rate,captured_churners,capture_rate,precision,recall,f1,tp,fp,tn,fn
0.83,319,0.006525118638520701,20,0.07936507936507936,0.06269592476489028,0.07936507936507936,0.07005253940455342,20,299,48337,232
0.84,262,0.005359188348879071,19,0.07539682539682539,0.07251908396946564,0.07539682539682539,0.07392996108949416,19,243,48393,233
0.85,229,0.004684176075928653,19,0.07539682539682539,0.08296943231441048,0.07539682539682539,0.079002079002079,19,210,48426,233
0.86,177,0.003620520373097693,16,0.06349206349206349,0.0903954802259887,0.06349206349206349,0.07459207459207459,16,161,48475,236
0.87,148,0.003027327769595811,15,0.05952380952380952,0.10135135135135136,0.05952380952380952,0.075,15,133,48503,237
0.88,118,0.0024136802487317952,13,0.051587301587301584,0.11016949152542373,0.051587301587301584,0.07027027027027026,13,105,48531,239
0.89,90,0.001840942562592047,10,0.03968253968253968,0.1111111111111111,0.03968253968253968,0.05847953216374269,10,80,48556,242
0.9,75,0.0015341188021600392,9,0.03571428571428571,0.12,0.03571428571428571,0.055045871559633024,9,66,48570,243
0.91,52,0.0010636557028309605,6,0.023809523809523808,0.11538461538461539,0.023809523809523808,0.03947368421052632,6,46,48590,246
0.92,38,0.0007772868597610865,5,0.01984126984126984,0.13157894736842105,0.01984126984126984,0.034482758620689655,5,33,48603,247
0.93,14,0.000286368843069874,3,0.011904761904761904,0.21428571428571427,0.011904761904761904,0.02255639097744361,3,11,48625,249
0.94,4,8.181966944853542e-05,0,0.0,0.0,0.0,0.0,0,4,48632,252
0.95,0,0.0,0,0.0,0.0,0.0,0.0,0,0,48636,252
